299,Temple,32,21,11,.656,7.62,6.41,14,4,11,3,8,4,2197,2158,,1300,792,1955,.405,251,739,.340,362,529,.684,357,1175,433,171,100,289,514
300,Tennessee-Martin,33,19,14,.576,-5.72,-4.81,10,6,11,2,7,9,2398,2338,,1335,833,1879,.443,256,746,.343,476,671,.709,356,1208,400,191,67,403,582
301,Tennessee State,30,20,10,.667,-1.59,-5.37,11,5,11,2,7,7,2200,2056,,1210,771,1692,.456,163,495,.329,495,712,.695,341,1115,316,231,107,407,621
302,Tennessee Tech,30,19,11,.633,-2.75,-3.78,11,5,14,1,5,9,2357,2265,,1205,771,1681,.459,259,710,.365,556,749,.742,285,1076,432,158,117,375,584
303,Tennessee,34,15,19,.441,8.17,8.23,6,12,12,4,1,11,2554,2556,,1360,890,2116,.421,251,767,.327,523,721,.725,428,1292,459,180,156,384,662
304,Texas A&M-Corpus Christi,32,25,7,.781,-2.37,-5.51,15,3,13,1,10,5,2356,2212,,1280,814,1858,.438,206,609,.338,522,708,.737,366,1128,410,303,147,410,681
305,Texas A&M,33,26,7,.788,19.21,8.36,13,5,17,1,5,5,2504,2146,,1325,878,1950,.450,255,722,.353,493,733,.673,419,1282,562,230,124,387,594
306,Texas-Arlington,33,23,10,.697,5.75,-2.81,13,7,13,2,9,7,2627,2295,,1335,903,2129,.424,294,896,.328,527,758,.695,494,1447,561,241,91,448,691
307,Texas Christian,33,12,21,.364,4.69,9.24,2,16,9,9,1,10,2209,2359,,1320,734,1810,.406,187,558,.335,554,826,.671,355,1111,382,213,126,478,675
308,Texas-El Paso,33,19,14,.576,-3.63,-4.76,10,8,14,4,2,9,2554,2471,,1335,896,1926,.465,223,618,.361,539,809,.666,299,1196,512,197,116,416,672
309,Texas-Rio Grande Valley,30,8,22,.267,-17.60,-3.97,4,10,7,6,1,13,1993,2330,,1200,716,1712,.418,212,633,.335,349,520,.671,258,1004,459,143,91,372,536
310,Texas-San Antonio,32,5,27,.156,-16.21,-3.21,3,15,4,10,1,14,2317,2698,,1290,796,1915,.416,220,691,.318,505,719,.702,327,1086,366,206,80,435,701
311,Texas Southern,32,18,14,.563,-4.57,-7.29,16,2,9,0,7,12,2330,2243,,1280,819,1788,.458,219,642,.341,473,752,.629,395,1210,456,143,96,424,485
312,Texas State,31,15,16,.484,-5.14,-4.07,8,12,10,4,4,11,2046,1993,,1250,727,1692,.430,149,459,.325,443,658,.673,335,1063,366,189,96,368,576
313,Texas Tech,31,19,12,.613,13.21,10.66,9,9,14,3,3,7,2244,2165,,1255,760,1700,.447,178,516,.345,546,732,.746,320,1058,404,182,130,368,573
314,Texas,32,20,12,.625,15.77,12.49,11,7,14,3,5,5,2283,2178,,1290,789,1828,.432,223,658,.339,482,725,.665,351,1107,367,165,140,332,664
